peterfish,29,150,11,音樂人,臺北市,1
teresa1010159,3,849,124,認證音樂人,臺南市,1
smy714,11,1765,2,認證音樂人,新北市,1
Andy970029,1,218,29,認證音樂人,臺北市,1
leowangmorrison,31,14302,0,音樂人,臺北市,1
konwang3,19,9450,49,認證音樂人,新北市,1
minsta,33,129,0,音樂人,福建,1
h2o1996,3,1385,48,認證音樂人,臺南市,1
MrCotton,6,102,19,音樂人,桃園市,1
DAWAV,29,92,0,音樂人,臺中市,1
left7792,38,37765,12,認證音樂人,新北市,1
HandyLee,8,167,37,認證音樂人,桃園市,1
Red_pimp,11,162,3,音樂人,臺東縣,1
bradrlee,13,206,21,認證音樂人,臺北市,1
LC_caje,1,73,21,音樂人,臺北市,1
yf____c,3,3374,23,認證音樂人,臺北市,1
sweetjohnband,20,34057,12,認證音樂人,臺北市,1
AA320,2,725,0,認證音樂人,臺北市,1
findingneo,8,894,6,認證音樂人,臺北市,1
realProfessorH,5,1122,20,音樂人,臺北市,1
Murphylaw_0213,4,129,0,認證音樂人,臺北市,1
dudedonteventry,1,48,12,音樂人,桃園市,1
wenti311,29,23,2,音樂人,北京,1
ShadowProject,23,5403,0,認證音樂人,高雄市,1
cozzzy830818,1,76,0,音樂人,臺北市,1
mond121207,5,1979,3,音樂人,基隆市,1
foxdon1029,4,258,0,音樂人,桃園市,1
William_ROLLyal,12,621,0,音樂人,臺中市,1
kingkongkuan,4,122,19,音樂人,臺北市,1
GIGO_psycho,1,778,1,音樂人,臺中市,1
Marz23,12,13089,1,認證音樂人,臺北市,1
LinHon,4,128,11,音樂人,高雄市,1
crybabymush,5,5,1,音樂人,高雄市,1
SOURENHH,1,45,1,音樂人,臺北市,1
ProgressiveGuava,1,36,6,音樂人,臺北市,1
TysonYoshi,2,1338,0,音樂人,香港,1
NightZ,3,8,7,音樂人,新北市,1
3r2music,9,359,4,音樂人,臺北市,1
fourpens,28,4266,63,認證音樂人,臺北市,1
hitdondon,16,2047,0,認證音樂人,高雄市,1
s9021720000,1,33,20,音樂人,桃園市,1
c8heihei,2,35,10,音樂人,臺南市,1
Not_Yet_1,2,234,2,音樂人,桃園市,1
rennnnnn_____,4,396,11,認證音樂人,彰化縣,1
chenz,28,122,73,認證音樂人,高雄市,1
13lefty,2,257,19,認證音樂人,臺中市,1
tigtheirongiant,11,2394,15,認證音樂人,臺北市,1
Acedalan,3,86,12,音樂人,新竹縣,1
flexkidz,19,124,3,音樂人,臺北市,1
blaire_ko,72,371,6,音樂人,臺北市,1
970zhaozhao,3,165,13,認證音樂人,臺北市,1
itisIsey,22,751,14,認證音樂人,臺北市,2
Darkduckisme,1,15,34,音樂人,臺中市,2
chenx3,16,160,0,音樂人,浙江,2
koala_dada,5,10,39,音樂人,新北市,2
J_wang_29,1,24,3,音樂人,桃園市,2
ovdstw,33,926,37,認證音樂人,臺北市,2
oscar99918,1,4,0,音樂人,高雄市,2
wavesdoppler,28,479,19,音樂人,臺北市,2
ape101129,14,207,56,認證音樂人,苗栗縣,2
ella26980403,1,1,0,音樂人,桃園市,2
chenghantw,12,209,0,認證音樂人,臺北市,2
GoGoMachineOrchy,13,577,13,音樂人,高雄市,2
b0002381,6,201,47,認證音樂人,臺北市,2
dungisapor,8,46,8,音樂人,花蓮縣,2
hilloper,4,28,173,音樂人,臺北市,2
EastWaveBand,21,2712,0,認證音樂人,臺北市,2
pilot,92,279,96,音樂人,臺北市,2
Sonia_Calico,28,721,3,音樂人,臺北市,2
neonerostw,6,1631,40,認證音樂人,臺北市,2
som4ever,24,7642,19,音樂人,臺南市,2
Locu5,7,101,0,音樂人,臺北市,2
AOIMUSHIBAND,40,5072,45,認證音樂人,臺北市,2
nimoyully,20,377,46,認證音樂人,臺北市,2
AngelHeartBand,7,121,0,音樂人,高雄市,2
Iron_Punch_band,17,4592,11,認證音樂人,臺南市,2
abc898277,8,8,14,音樂人,新竹縣,2
Onstudio,41,9402,31,音樂人,臺北市,2
MidisWonderland,24,765,29,認證音樂人,臺北市,2
vegatablecookies,79,344,57,音樂人,高雄市,2
chickenchicks,13,1514,7,認證音樂人,臺北市,2
troychenGT,26,7,7,音樂人,臺北市,2
ZooeyWonder,21,8248,62,認證音樂人,臺北市,2
PuFFcorn,25,465,5,認證音樂人,新北市,2
theloophole2017,11,498,0,音樂人,臺北市,2
OldSlutDistortion,17,9103,16,認證音樂人,臺中市,2
chilladan,32,2907,7,認證音樂人,臺東縣,2
runningyouth,2,276,0,音樂人,新北市,2
softlipa,34,38150,143,音樂人,臺北市,2
BURNIE,28,138,8,音樂人,澳門,2
rubyfatale,22,2184,124,音樂人,臺北市,2
WithinTheFlames,11,242,13,認證音樂人,嘉義市,2
MLK1992,17,523,0,音樂人,美國,2
Oberka,22,60,4,音樂人,臺北市,2
hanahsu,5,60,1,音樂人,None,2
mibsBMty330,5,375,42,音樂人,桃園市,2
gac900423,1,9,0,音樂人,高雄市,2
MrLH_Band,22,49,17,音樂人,臺中市,2
