Uid,Songs
faasofficial,623579
saintg,656491
s8817012011,506342
serenadeofmemory,296448
oops_we_fall_asleep_again,656664
alluvial,25465
DasFoss,375126
jimmy1983062222,31240
young_david,286668
joshua0214,314232
Baobu_Badulu,622191
shinken,372369
aqswdeandy123,659564
richard871011,579796
Maochun,620852
hkelan123,608275
TinaTuna,7220
sidchung,308062
richard871011,655961
sanyeh,138969
KAROT,587737
fragilegirls,471931
janlin0116,188832
OfeliaYang,619566
pow910166,23908
COLDDEW,579177
RogerWoo,281798
samland,574728
Serrini,542902
weareallears,599933
vacuumusic,611308
CarouselBand2011,192791
COLDDEW,635236
leeky37,116116
COMZBand2009,396916
nckn,565543
Bazy_WestCoast,619700
william810,333706
mason13,27091
real_jimmy,109074
superten710910,2283
bikedestroyer,341298
long_bonus_m5,643085
StudioM,535311
Xmoraz,633252
newlife200732,134095
Coyico2017,388761
kninat,118746
selfkill,124310
Swamp_5,642030
merrierec,589943
skippylu,170011
semitune,109084
Obze,552702
suckfuckduck,636346
fion830624,373980
PlasticRubber,21926
kiwif2f2f213,670906
zoomie_live,550246
th_song,115101
saintg,634042
pnfc,195079
wild_waterfall_5v1,527932
vacuumusic,344361
alan860409,679676
joshboi0807,154133
saintg,646067
kuyusistudio,548458
sparkling_rice_1cu,652830
retroagetw,637639
UndecimberFin,568720
fw7975,610481
Lexuan__,679470
ChiYangAlnus,555090
Frozon,662927
icekrozz,114570
fredali,174171
juzzyorange,140631
luxiansenband,382349
unijjfu,119257
SilviaYang,168644
U180,73031
fishlin1980,33893
tj3391,119712
tai2212112o,643558
yuchangmusic,607940
tz_yi,634302
RIGband,616607
paleeedot,624352
thesleepyhead,558234
Zshiuan,582040
janlin0116,207636
Theseus_tw,568124
gordenunice,572875
ZodiacTW,346122
pop581603,130721
whocares2016,469211
Coyico2017,646002
and5427954,649693
stilldiggin,16396
indoor_trip,629127
tdawg666,45371
lucymeow,639664
Qbopypy,620122
cilix2016,558338
SonicDeadhorse,100633
rule1230,670559
theabsentbrother,311087
ddzero2c,593481
youth_of_the_sea_island,634387
no8pig,12900
formoza,625770
barkher,470114
PrintedNoiseLab,559361
KE1996,571051
pqpqpq,154538
liliumtaiwan,374050
tepc_music,663227
billywalshaw1220,668622
Skey,484987
a7474896,339099
zitanrunrun,498031
maryseethefuture,115926
Daylily,585553
yingying0113,197791
tenrealms,261424
mustbeniceband,580554
TzChien,555233
WalkingDownZhinanRoad,588451
andygolden1007,150253
NickWuLovesMusic,640292
formoza,625775
c65341990,119394
Chingwenmusic,646501
delafat,28146
imeanusband,613736
chrisxxx,45682
theroadsideinn,566937
vickeyjasimine,599896
GALI,502431
guleslotus,99858
manchuker,72082
rockmui,103362
WhyOceans,482842
Hualien970,64674
citypartsy,316623
zitanrunrun,576267
kuyusistudio,523716
hsinpei,29353
Young_Yu,575392
ascent,33371
newone211,556064
MIDNIGHTPINGPONG,377806
jacklon,3083
joelin_0910,116734
Theseus_tw,608164
Wildodio,629291
medchem,103816
heatmark,406010
SavuluLawayMusic,341352
startway,147044
TuTofficial,323763
nastyjrfog,31051
cureannie157,663002
wake_back_to_bed,560134
joy09,169658
keepitrealrecords,546447
mcxiao,97333
skatemeow,667656
ccuuzz,499317
mofoparty,353994
