音樂人 ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地,type
ten_yu,5,84,15,音樂人,臺北市,1
KawaSounds,7,47,0,音樂人,臺北市,1
evil022389,8,34,1,音樂人,新竹縣,1
allinonemusictw,25,195,13,音樂人,臺北市,1
24prbl,18,569,18,認證音樂人,臺東縣,1
TinTenTan,14,17299,12,音樂人,新北市,1
yf____c,3,2560,23,認證音樂人,臺北市,1
gjia4real,13,687,0,認證音樂人,高雄市,1
mixtlabmusic777,1,24,0,音樂人,臺中市,1
zac60422,58,948,80,認證音樂人,新北市,1
3rdAPark,1,108,5,音樂人,桃園市,1
andung1220,17,11415,2,音樂人,臺東縣,1
CalvinBrand,4,70,24,音樂人,新北市,1
gaojiafeng,16,1077,4,音樂人,上海,1
Lewis_chill,1,56,9,音樂人,新竹縣,1
mctoast,3,42,3,音樂人,新北市,1
angry_youth,23,5343,0,音樂人,臺北市,1
hengJoneshunnid,17,495,14,認證音樂人,花蓮縣,1
charlie86847095,5,226,2,認證音樂人,新北市,1
realProfessorH,5,1101,20,音樂人,臺北市,1
sandrali,142,62,2,音樂人,臺北市,2
djmykal,4,210,14,音樂人,臺北市,2
ryota_katayama,13,304,12,音樂人,馬來西亞,2
AOIMUSHIBAND,39,4999,45,認證音樂人,臺北市,2
joeyhuang,12,1672,37,認證音樂人,臺北市,2
finn0829,14,142,45,認證音樂人,臺北市,2
y310,19,9522,0,認證音樂人,臺北市,2
ourshame92,13,7656,38,認證音樂人,臺北市,2
GestaltGirl,31,7700,0,認證音樂人,臺南市,2
andrewhuang,49,55,3,音樂人,臺北市,2
rubyfatale,22,2177,124,音樂人,臺北市,2
hellovivianana,4,13,1,音樂人,臺北市,2
prisminbasin,6,104,0,音樂人,臺北市,2
troy55555,12,93,23,音樂人,None,2
uimusic,36,671,25,認證音樂人,臺北市,2
yes3861900,12,797,0,認證音樂人,桃園市,2
Oberka,22,58,4,音樂人,臺北市,2
Sophysophyw,21,765,14,音樂人,香港,2
vois,2,11,0,音樂人,臺中市,2
piscoband,39,4295,21,認證音樂人,臺北市,2
koliseum,8,50,2,音樂人,臺北市,2
coachingcao,5,45,5,音樂人,臺北市,2
a21043q,29,165,251,認證音樂人,臺北市,2
bedroompartyhk,5,83,0,音樂人,其他,2
b8515057,3,33,0,音樂人,高雄市,2
SYNTHGUMI04,5,257,1,音樂人,高雄市,2
nimoyully,20,347,46,認證音樂人,臺北市,2
CHIUPI,22,2431,0,認證音樂人,臺北市,2
rnbconey,23,214,22,音樂人,None,2
ape101129,14,199,55,認證音樂人,苗栗縣,2
Mr_KIRA,9,47,30,音樂人,臺北市,2
limgiong,57,2188,98,認證音樂人,臺中市,2
zac60422,58,948,80,認證音樂人,新北市,2
ZooeyWonder,21,8184,62,認證音樂人,臺北市,2
J_wang_29,1,24,3,音樂人,桃園市,2
b0002381,6,200,47,認證音樂人,臺北市,2
cosmosjade,11,6170,7,音樂人,臺北市,2
runningyouth,2,253,0,音樂人,新北市,2
PuFFcorn,25,462,5,認證音樂人,新北市,2
showmain,12,419,7,認證音樂人,新北市,2
kokkamango,42,81,36,音樂人,馬來西亞,2
Anak_Borneo,15,56,44,音樂人,馬來西亞,2
madeinbackstation,5,5179,6,認證音樂人,桃園市,2
w2__17,5,193,13,認證音樂人,臺北市,2
